cuce,entidad,objeto,fecha_pub,estado,links_archivos,links_formularios
25-0422-00-1623850-1-1,Caja Bancaria Estatal De Salud,"Servicios Profesionales En Nutricion, Citologia Y Bioquimica La Paz Gestion 2026",29/12/2025,Vigente,"['S9wBlYl3j2NJFdApEkm+Fg==::XgVlgnlr8iFZKQ0DN6dVt3d19hD7dzquspsYttdAXmwPASodaldUNxRy8dVVIpuxTwkj/BX+7vAlqYOiZykFLg==', 'qD3T7U/wEYtZYJwimKsRzQ==::wVkZl3+fJqct6yr0haj9VJQQeK4W/t/2f9xU162uikZNevLRxid8lu/fG9e6HnNseQxjXIPxsyDCsCsg+CChzg==']",['GgAam2iXUBKw013cCJJzqQ==::5C+nbW/MRV2mNFpdyaWIKGosUFFp8/bf3pOO4YGtV1fkWCkAW7dt4pkHw01MG68NHuLH7w4YHMn+TgOPSRtUqg==']
25-1306-00-1623934-1-1,Gobierno Autonomo Municipal De Colcapirhua,Adquisicion De Vestidores Y Divisiones De Las Duchas Para Varones Y Mujeres Para El Parque Ecoturistico Colcapujllay Del Gobierno Autonomo Municipal De Colcapirhua,29/12/2025,Vigente,"['w1itF5LxdRSIylilCENSAA==::5RxqkbZuIZfrJaRJj3X42aUP4d7fg5rLk2aFJ9+EKjxbCHVWyed4SVA+FVune9UtKU31h0tgyYSwGGa26gX0VA==', 'GamnmrYCt7u/69qrodSkVQ==::ZsbsHQm2vyPrGZTKcZCHksPjok54qJqGsYBPSGIfosCXB9JVI4NitxOFJUaVkZvKA+sRlZ5hHiK1E6Syhkfv1Q==']",['dU4AV9D1g8iod12/BYw+Yw==::BUadbzsrrlF0GIJJpb6WsMpp15/H3bIrGYaclwRjqQ2YFIt2QSlWnVrjZ/mfCjNe+LdWhfQMIbiz+ZnMUbw5Jg==']
25-1532-00-1621241-2-1,Gobierno Autonomo Municipal De Porco,Adquisicion De Equipamiento Para Las Unidades Dependientes Del Gobierno Autonomo Municipal De Porco,29/12/2025,Vigente,"['uEchu1+Dx5U3Tsk8QyDwKQ==::7v1fl1gsLlthv+iX4vCBHNPdl8c8zu+U5ctlOQun2j61tDqSrMcScamfRlU+hUuzmMDSnVJmQBdZ3yHinBXZQw==', 'GvYLC11x2FoINBYIn9QENg==::45mCPEwQ0YVoP1KhhMpfUtv4snQwqahPu92PqanUs/ESs+q6lrXdQVwgBeRQRDQk2J7B08DiiSq5GEXIG5QEEw==', 'XMFHG4ftI5OsOJ0yNZhWQw==::BOsj7UQ114D2+QFEPBF6sdynF9NSsYkyGnbDPrxDYc5X+K0zh662nZKrCxO/nA8cWRHYajNUPhZVZs8X8kdh7Q==']",['HrwekZ0AOMaOwv0TytIBiw==::yRrQINYNXvJ6nTWIrUoWdo+w0xzdNxZIGESzLVQon3roXcupRQUJTO/mPFCgwNlA5O6U50GP4OllxWUKkz4tSg==']
25-1519-00-1623903-1-1,Gobierno Autonomo Municipal De Tupiza,"Adquisición De Productos Derivados De Cereales Para La Alimentación Complementaria Escolar Área Urbana - Gestión 2026, Distrito Educativo Municipio De Tupiza",29/12/2025,Vigente,"['R8q1uLh31RlMk77UDLChpw==::nmA0sCf2Hy2dgYVtwDM0cNWrc+AOSWGivyyfXauX4EhynDWnDZqeAZxI11ER8IB6YMJkoKvWgfWX43NMPn8kLQ==', 'JWyJLjeD4Jj84Tb/fLcNeg==::ST+Sj9L4ff9LC+mIgHDTLddTDee7bsa29rjU6mhxqV3REjr5WDnCwcyyyAXbNzxCTkRUdxp4T8baxz99oG6Dvw==']",['aJ5A2tE0AWToiV5Nm+JYvQ==::imDOsDFlF0lGGkv3YAwC6V6KTFNcK5m2uQdCABOsbeLpaRlhN0zHWon431ZFi3vo9k3/LQuuyuR+MRgWqV78XA==']
25-1519-00-1623883-1-1,Gobierno Autonomo Municipal De Tupiza,"Adquisición De Derivados De Lácteos Para La Alimentación Complementaria Escolar Área Urbana - Gestión 2026, Distrito Educativo Municipio De Tupiza",29/12/2025,Vigente,"['9OkdTwLZ66YiFNmllHFQsA==::TH057rh9j6Nt5nG9a11brt6ZhM8bXUO4p7BsG0rEsYY25JavfWxE9dDyc6ea107zFBlsWsOrRcxHjeX3fXS4Bw==', 'NlSmSwXxKwDlmPgqLyhW5Q==::VMnr7bFnHleqIMSIFfNFBRydSCj6cCS1SskDrwhHbrPC9XukRrL9TGgvgiAm7tAIUV5BdoWupLbCwVVThA6qUw==']",['bGZDjnlYPqz51pZcFrcpDg==::CNWxlhwEdg0ESozz5U7WqxHCKdqdrTbOQEggbH26rvUp0BtoYmdoQnwObqmBTuvXy/qr99tgI7ZPAKps0GR+Wg==']
25-1603-00-1623922-1-1,Gobierno Autonomo Municipal De Bermejo,Adquisición De Complemento Nutricional Para El Adulto Mayor (Carmelo) 1er. Semestre Gestión 2026 Para Establecimientos De Salud De 1er. Nivel Del Municipio De Bermejo,29/12/2025,Vigente,"['fBxl7URhszkpj9k8zGB/Yw==::QTb5/O8dplSrbXuFNgr/ex5STmaybBPCVHH42v4M/zMYjyJNRjXhCJgzGUCWDjqc80afrYX3Kx0ace2h1S3eyw==', '5JPA8AltRgl5FEXKJT4ENQ==::MmVLGDDlv9Rd9GI1x1gYauxWfrVGwz2/0t6vYsAhf0HXYIQ9kHN6iIa0JCo5dNcEXl81i/C9TPuq3AnPQvG6TA==', 'hXuOvHi6Ig2LO62fMCyzKg==::OKM1ttDPxejWnFFcv6xLEpphluHvW0IMTjn4pExiZT6kWqPbfpeOssxecRQA4/07o+L0ddX9WCfwBqU8D885fQ==']",['IWgVYZR0uptAmY17yGRI3w==::jC0CQy+sPxDp5Uo/vxjRKnWKdfZrX4F3FbfiYTPUxK3yUveiGiJzcYbLCUpSZBMZS6YEl1CyMZFrjkgCrHYvrA==']
25-1519-00-1623860-1-1,Gobierno Autonomo Municipal De Tupiza,"Adquisición De Lácteos Líquidos Para La Alimentación Complementaria Escolar Área Urbana - Gestión 2026, Distrito Educativo Municipio De Tupiza",29/12/2025,Vigente,"['VHIQ8qkE8WNp9rfkXnhC5Q==::j4FNMc2qfgOj93m1H8MfQD2ub9NrCsFGMZfvtcVTDad6sLkP6B5tSWIwwg7tWoNK7Xr6/Zfz+Kz/fMIegfSeWA==', '4+WMhE4tNA/WbMJMVCTjcg==::mOaeLPfH87fzuaNvCc0Xbg3RT3rWiY5pTCATxwzjBjs9ISU+ahL9enak37GqY1T8svDVo1o4yPqth4HAVzpFQg==']",['/KZUIirXUmF4MuD4LMBhAQ==::01APhCShXSkvBxH26nbLtSHgBS0jN+xw62xDdSYm+fLiW2VW+pLrmAurEHCtzgz+qGul0tu5w8K9hNrEaAkLVQ==']
25-0902-42-1623697-1-1,Instituto Nacional Del Torax,Adquisición De Carne De Res Y Pollo Entero Fresco De Carácter Recurrente Para La Unidad De Nutrición Del Instituto Nacional De Tórax (Enero - Abril 2026),29/12/2025,Vigente,"['P3XXQk0bgh6IPumZph/LUQ==::IChq6F1CAI8mq74GMZjefnOuVJmaYj2bPtADRZYxNl++ki3oaIq3D2Iafn+Ym91PA9GALKPxfE1B7y+9wuYmZg==', '3znDl3K8j41G3MvP/yqXgw==::knSu/iczeLHJfuZ18p2WrG17v81lE1WGRRMOYegurJVhcVQXcg3MDNxSoRckhFQDM/d7HxLWqL3qH+ALYtARdA==']",['1BpYM6okMEa2yCzl3WtOLQ==::twy77KsAUL72O2ozs2Oi5SPPpENIsOIL2M6xeMvIMbmX9lDWjntkVomyeh2PVxOGymTrEcmriD64AQEcldWs/g==']
25-1706-00-1623828-1-1,Gobierno Autonomo Municipal De Warnes,"Provision Y Dotacion De La Alimentacion Complementaria Escolar Para Los Estudiantes De Los Niveles Inicial, Primaria Y Secundaria De Las Unidades Educativas Del Area Urbana Y Rural Del Municipio De Warnes Para La Gestion 2026",29/12/2025,Vigente,"['I/K962BHE4EcztUC5+PVgw==::/yl/Ood8V4+2OX6H+GfE3cW/US6T7LCoZpxqVfq6AWQVWPevdoeTLLaNt2C6mnKwTphQ3KOPFz6TGa/VKriGxw==', 'V1yBCCOCbecWnC393e9M0w==::T9uYX3iLMMPejbVgD580HuuS5yT23oUzmlzdMGcmC5xy54E6XPI3+bIRFZ38JEOvl5n1Vhe7G5+M9a2V/pH63g==']",['rxb1CVh2olp6z7HwAc3NUA==::/kPd6f4fKDCYkRdCVAWzhK3koiegNvy1SrYjVobT49DVnLIrAmNrm+M8ExixRK4TkFsIXGCcnWvvXDcaL5Z6mQ==']
25-0227-00-1622408-2-1,Zona Franca Comercial E Industrial De Cobija,Contratacion Agencia De Viajes Para La Provisiòn De Pasajes Aereos En Rutas Nacionales Para Zofracobija – Gestiòn 2026,29/12/2025,Vigente,"['2Q/1HQzG9rd4BMl1E0PhfQ==::++HvePAr7ViAReJqS6MWb++XUtLr2+QoDwnzIxuCIBHXYQiwHiLzxIgbHNa3Ww+BCUZrQv+UbiIsh5/EoPFvZA==', 'ZZAsjglwQGLyUYabgHCeUg==::4qW0vlBGnpevq/1qXcr+Uqi6dtwmQAC58qIFXxj6gnTa7DYqsDV8m7VeIe49gXf3OXiVc/IVtK2cKd+j4th6RA==']",['b3korXzL/JtEFQIzVVYqsQ==::xnKxxygpksFwyCqrVqBAZo/cfDel4fG4hd/JA1Rk8FtMZjwZzFmstu2HKiMUQUUdAffqA/OkPjmrYLQx6817ww==']
25-0389-00-1613751-2-2,Navegacion Aerea Y Aeropuertos Bolivianos,Servicio De Limpieza Para El Aeropuerto La Joya Andina Uyuni-Naabol-Gestion 2026,29/12/2025,Vigente,"['pZwXYafMaLnzxPuzu3jXkw==::a6bJ4Gt1hj8TQvw6lL5qc5A/l1sZ7KXS09BwxIpBlCvNQjFGiyupTsceUljaxjNKP60bt1SxdBdmXKIAryKfbQ==', 'Xaj6kF5ymYzA/i+XP3Zq1Q==::1f/RbB5QtisKoqiuBLFqfBHlGjMiLXM5d1UpPLRJBiV3M6FXeKb2303p+PCU6D1PMM4b1+IyOvGtVY1eFyKHGg==']",['dv/aacEGiaRLGP1Scq4FzA==::VFbsCCph8+BLNeIgy7H1ZxvSUiKBUG76SW5MShWJkqVQT5Bq4gFLA6gBGPx0GSjriCnrTNAnpmIPX5ymM9yrVg==']
25-0802-00-1623855-1-1,Empresa Local De Agua Potable Y Alcantarillado Elapas Sucre - Elapas,Servicio De Lavado De Vehículos Gestión 2026,29/12/2025,Vigente,"['e94X5lsnl7P7auemYD+O2g==::SeW/FcrSJfPLA0uaoj5lyjqE+7KJXEHnLXcfxx8ndUUBuzQbc2gR3GsoeiOQLDYI+ZPGDtCA5fVU6q50ExY1yA==', 'e4fCj/pODMcqKriKT8gRLw==::MaQ8oYxoBDUEbhu7ayjLwPVR3B7368z8QWClnrQdFYeZ0XMBl53A/rdwf6+a3fUHLYrvpNDAcDNjYxQUrs+fhw==']",['FiT9vGtr+oCflRhYZTubBQ==::kIq4MVqEETW+0bg8kD9VjKOf42AqDUqBUV3a0ofYL+kRx/CNYjJjr02iqGiZFQnkBvfhQD6eWBjgRbtENBhIUg==']
25-1201-00-1609866-1-2,Gobierno Autonomo Municipal De La Paz,Servicio De Lavanderia Hospitalaria Hospital Municipal La Portada Gestion 2026,29/12/2025,Vigente,"['5q/meAxIpBT4xS+/aJ7YRw==::Plcsr+gmZuud6NS2F20TH1D9NuIHApZgAcA5qUFBUy5ziFV7q/GKQhIPENFwLoWhnQSqNuvm7kA3rliHl312iQ==', 'yNDLhrh2RT9YBgh7GqIYwA==::B7qqnJIPs735YwJrhNxtKgFBI6lw264Mfs2wEd4xosmApkwx2j4Buj1pZU8FNNAmTHReq3HZZbej3hGtxLxBrw==', 'kFuPVOh7jdULxR6gQHmbHw==::z6w9RubN5gNcahn0fiqjDa8jp/BDyYNvTrLONHGD1FbP0dwtpnBs5HZMC/a92sGSqvEYH0GBH4+NtrYyLo30Og==']",['IpHmhhBCEQh9ja1rtCUhdA==::bvY3Y3tCrBE7JpI12r/Kt68/wf1JJ0PYJK1rb548EUN6lHFp/hGLKwk/Axq8cPCRJoCWE6HbkdIOhEsVP/qmNQ==']
25-0207-04-1619127-1-2,Agencia Nacional De Hidrocarburos,Servicio De Limpieza Para Las Oficinas De La Dirección Distrital Chuquisaca-Gestión 2026,29/12/2025,Vigente,"['atX84pF0VxjrQgtj7m7Msg==::OytUo85KkgxUQyBRn/oGzYJId9jPFBspyUf+JVXKt2RfByJe3erqxReKnKa96R6u+WTmRdqOYFviPUFLHqZsDw==', '3z8g00DwlnNFUjg0EWeudw==::58zs7EbHsWjxOBCMo2Yf8WyTEuUhEdZLu6BY+WM3b7jMiB9BCL5ZeJdyXcJGD7uqk4c1i8re7wEUZNR1hQdwvA==']",['NJSYEJybAWyszt4MLS4Ysg==::P1j85gKisb4a6sbCV7GzpFY0RbkRS4ozaJTtODiIU0AMAYPoB7QH7ypNj3MPVB1GdAP2W3g2HpZVWPPh7aUTLQ==']
25-1326-00-1623879-1-1,Gobierno Autonomo Municipal De Tolata,Adquisicion De Juegos Infantiles Para El Parque Zona Norte Del Municipio De Tolata,29/12/2025,Vigente,"['hZLYwoeqPdAs0uHfXWn7ZQ==::Ep7wXeR8c9aPvw80qwdB7DkCOsjeeEq0HRHIegRISayYfXqC3fEupVp6j1daRZ2uVI5w/YPqJbd5DJTRILkxBg==', 'vHRo5GunWmNFkYRt+zJG7w==::tqD4g1Zg/oH8hsl19zE2RWLIubJQfwF/KDFLbMz640Pps0c3E6Vvk3U6ZdBPYnlxQ1ugK4wK8+wHpXXhNmE4Pw==']",['woK5GVR3wIAiL3sUyYM1aQ==::4QZIOCG5EAKl3vyTojtsGDk5xsTPK4JlGSXqHYoSxF/xzkC3GTEs9R0PHvJFJracyrUvakCZkXGxgeB9MV9KkA==']
25-1102-00-1623872-1-1,Gobierno Autonomo Municipal De Yotala,“Construccion De Atajado Para La Produccion Agricola En El Municipio De Yotala Comunidad Tirquipata - Obras Hidraulicas”,29/12/2025,Vigente,"['4SAY3c8YK5Yyf0iXm63uZA==::glGOJ2ow79BNnLsYHxPByCzqQH7JJCm13UVWUSEgiqilxX5LkE+/GP+yTbDarx5du082NPaTWiK3nh6KBxhhdw==', '7RHPhJaeX7Ik04s/qBgRSA==::aiy3vEfRtMZmBbuM959X8F8dXYAtRtvyqagjgvdS/YuBj4rnvd5pOHPBt8VfUXNzzLDe809vUKm5yDYMtqbrwQ==', 'nS+70bfYcE/cX6n5xm2fng==::K4jYcT7AHBqOcgBEf7saxoVKV/S1gDNUjqa4x/eqzX6KpwdJk+jV8/+hgBJVbK8u/PfVrMurNOpmnKhg8otq/Q==']",['sfB+WgCkrJTgvkEan7CH3A==::lCOWI4aqZiGfqR4qDvco34tUvZsyy4GVXYLJLzwq/Fuy7bfOUSW48oxO27L7i7iISMIoC0PB4UXUaRk9or/fXQ==']
